Δϵ_n,Ω_d,N
0.6869333048028525,0.05,20.0
0.6663539051772239,0.05,20.0
0.39579343049113774,0.05,20.0
0.4077089486111115,0.05,20.0
0.5574759263430158,0.05,20.0
0.5287500639121397,0.05,20.0
0.5270663247368322,0.05,20.0
0.46880225469268316,0.05,20.0
0.5140556403654,0.05,20.0
0.0,0.06,20.0
0.0026301474635615496,0.06,20.0
0.9717163471563465,0.06,20.0
0.03763204796470643,0.06,20.0
0.9226379466241572,0.06,20.0
0.9146827813218381,0.06,20.0
0.8792464471996545,0.06,20.0
0.14601759034152828,0.06,20.0
0.8116846505048694,0.06,20.0
0.7479365214380896,0.06,20.0
0.7006509460535835,0.06,20.0
0.6869288334129025,0.06,20.0
0.6663469226695664,0.06,20.0
0.3977127883561768,0.06,20.0
0.4077275184680624,0.06,20.0
0.5577136614127056,0.06,20.0
0.5274642811892544,0.06,20.0
0.5270600623589032,0.06,20.0
0.4688784346070239,0.06,20.0
0.5140596674899677,0.06,20.0
0.0,0.07,20.0
0.0013414904531903193,0.07,20.0
0.9726958637670489,0.07,20.0
0.03766487231771737,0.07,20.0
0.9228375340870814,0.07,20.0
0.9146931142279839,0.07,20.0
0.8779345628525492,0.07,20.0
0.1446520972911134,0.07,20.0
0.8116814109563962,0.07,20.0
0.7492591584779955,0.07,20.0
0.700715537936863,0.07,20.0
0.686923549059044,0.07,20.0
0.666338670740021,0.07,20.0
0.3999787868650341,0.07,20.0
0.40774946465266504,0.07,20.0
0.5579946219189758,0.07,20.0
0.5270526614085734,0.07,20.0
0.5259447325395568,0.07,20.0
0.4689684654488409,0.07,20.0
0.5140644268135685,0.07,20.0
0.0,0.08,20.0
0.00014211444118622518,0.08,20.0
0.9739682178879695,0.08,20.0
0.03784486109393276,0.08,20.0
0.9232099425337346,0.08,20.0
0.9148471513019424,0.08,20.0
0.8765629399420287,0.08,20.0
0.14321867909504282,0.08,20.0
0.8118197874226142,0.08,20.0
0.750927158473776,0.08,20.0
0.7009321815940778,0.08,20.0
0.6870595660834811,0.08,20.0
0.6664712633814569,0.08,20.0
0.4027323836424509,0.08,20.0
0.40791690168452266,0.08,20.0
0.5584609228643895,0.08,20.0
0.5271862361143985,0.08,20.0
0.5243335388980065,0.08,20.0
0.469214461788988,0.08,20.0
0.5142120328134551,0.08,20.0
0.0,0.09,20.0
0.0018192667400905305,0.09,20.0
0.9769263447400605,0.09,20.0
0.039564937550430224,0.09,20.0
0.9251480954662707,0.09,20.0
0.9165378158575067,0.09,20.0
0.8765244910614687,0.09,20.0
