ΔE_n,ϵ_2,Floquet?
0.0,0.0,0.0
0.0,0.0,0.0
2.0000000000000004,0.0,0.0
6.000000000000001,0.0,0.0
11.999999999999998,0.0,0.0
20.000000000000004,0.0,0.0
30.0,0.0,0.0
42.0,0.0,0.0
56.000000000000014,0.0,0.0
72.00000000000001,0.0,0.0
90.0,0.0,0.0
110.0,0.0,0.0
132.0,0.0,0.0
155.99999999999997,0.0,0.0
181.99999999999994,0.0,0.0
209.99999999999997,0.0,0.0
240.00000000000003,0.0,0.0
272.0,0.0,0.0
305.99999999999994,0.0,0.0
342.0,0.0,0.0
380.00000000000006,0.0,0.0
419.99999999999994,0.0,0.0
462.0,0.0,0.0
506.0,0.0,0.0
551.9999999999998,0.0,0.0
600.0,0.0,0.0
650.0,0.0,0.0
702.0,0.0,0.0
756.0,0.0,0.0
811.9999999999999,0.0,0.0
869.9999999999999,0.0,0.0
929.9999999999998,0.0,0.0
992.0,0.0,0.0
1056.0000000000002,0.0,0.0
1121.9999999999998,0.0,0.0
1190.0000000000002,0.0,0.0
1260.0000000000002,0.0,0.0
1332.0,0.0,0.0
1405.9999999999995,0.0,0.0
1481.9999999999998,0.0,0.0
1560.0000000000005,0.0,0.0
1640.0,0.0,0.0
1722.0,0.0,0.0
1806.0,0.0,0.0
1891.9999999999995,0.0,0.0
1980.0,0.0,0.0
2070.0000000000005,0.0,0.0
2162.0,0.0,0.0
2256.0,0.0,0.0
2352.0,0.0,0.0
2450.0,0.0,0.0
2550.000000000001,0.0,0.0
2652.0,0.0,0.0
2755.9999999999995,0.0,0.0
2862.0,0.0,0.0
2970.0,0.0,0.0
3080.0,0.0,0.0
3192.0000000000005,0.0,0.0
3306.0000000000005,0.0,0.0
3422.0000000000005,0.0,0.0
3540.0,0.0,0.0
3660.0,0.0,0.0
3781.9999999999995,0.0,0.0
3906.0000000000005,0.0,0.0
4032.0000000000005,0.0,0.0
4159.999999999999,0.0,0.0
4290.000000000001,0.0,0.0
4422.0,0.0,0.0
4556.0,0.0,0.0
4692.0,0.0,0.0
0.0,0.05,0.0
2.8119867545584043e-15,0.05,0.0
2.001999971426672,0.05,0.0
6.001428547132942,0.05,0.0
12.001333341864909,0.05,0.0
20.001298708737828,0.05,0.0
30.00128205684124,0.05,0.0
42.001272731459274,0.05,0.0
56.00126697156002,0.05,0.0
72.00126316045682,0.05,0.0
90.00126050627668,0.05,0.0
110.00125858294781,0.05,0.0
132.00125714429328,0.05,0.0
156.00125603986848,0.05,0.0
182.00125517346407,0.05,0.0
210.00125448119985,0.05,0.0
240.00125391929583,0.05,0.0
272.0012534569288,0.05,0.0
306.00125307188307,0.05,0.0
342.00125274781783,0.05,0.0
380.0012524724933,0.05,0.0
420.00125223659705,0.05,0.0
462.0012520329401,0.05,0.0
506.00125185589945,0.05,0.0
552.0012517010327,0.05,0.0
600.0012515647786,0.05,0.0
650.0012514442719,0.05,0.0
702.0012513371756,0.05,0.0
756.0012512415672,0.05,0.0
812.0012511558626,0.05,0.0
870.0012510787403,0.05,0.0
930.0012510090884,0.05,0.0
992.0012509459714,0.05,0.0
1056.0012508885984,0.05,0.0
1122.0012508362931,0.05,0.0
1190.0012507884771,0.05,0.0
1260.0012507446463,0.05,0.0
1332.0012507043725,0.05,0.0
1406.0012506672783,0.05,0.0
1482.0012506330424,0.05,0.0
1560.0012506013757,0.05,0.0
1640.0012505720265,0.05,0.0
1722.0012505447746,0.05,0.0
1806.0012505194259,0.05,0.0
1892.0012504958079,0.05,0.0
1980.0012504737613,0.05,0.0
2070.0012504531574,0.05,0.0
2162.0012504338642,0.05,0.0
2256.001250415784,0.05,0.0
2352.0012503988114,0.05,0.0
2450.0012503828507,0.05,0.0
2550.0012503678336,0.05,0.0
2652.001250353678,0.05,0.0
2756.0012503403345,0.05,0.0
2862.0012503277194,0.05,0.0
2970.001250315805,0.05,0.0
3080.0012503045223,0.05,0.0
3192.00125029383,0.05,0.0
3306.001250283696,0.05,0.0
3422.0012502740838,0.05,0.0
3540.001250264936,0.05,0.0
3660.001250256255,0.05,0.0
3782.001250247977,0.05,0.0
3906.001250240113,0.05,0.0
4032.001250232702,0.05,0.0
4160.001250225546,0.05,0.0
4290.001253817415,0.05,0.0
4422.00125385954,0.05,0.0
4556.045315951438,0.05,0.0
4692.045940798327,0.05,0.0
0.0,0.1,0.0
3.4139358007223564e-14,0.1,0.0
2.0079995427352246,0.1,0.0
6.005713896972935,0.1,0.0
12.005333469927447,0.1,0.0
20.005194924232327,0.1,0.0
30.00512829407734,0.1,0.0
42.005090976079714,0.1,0.0
56.00506792505088,0.1,0.0
72.00505267257348,0.1,0.0
90.00504205000722,0.1,0.0
110.0050343523422,0.1,0.0
132.0050285944067,0.1,0.0
156.00502417412565,0.1,0.0
182.00502070646232,0.1,0.0
210.00501793575623,0.1,0.0
240.00501568679454,0.1,0.0
272.00501383621236,0.1,0.0
306.00501229509786,0.1,0.0
342.00501099804694,0.1,0.0
380.0050098960792,0.1,0.0
420.0050089519165,0.1,0.0
462.00500813678997,0.1,0.0
506.00500742819844,0.1,0.0
552.0050068083448,0.1,0.0
600.0050062629971,0.1,0.0
650.0050057806737,0.1,0.0
702.0050053520222,0.1,0.0
756.0050049693571,0.1,0.0
812.0050046263265,0.1,0.0
870.0050043176411,0.1,0.0
930.0050040388583,0.1,0.0
992.0050037862412,0.1,0.0
1056.005003556609,0.1,0.0
1122.005003347259,0.1,0.0
1190.0050031558653,0.1,0.0
1260.0050029804338,0.1,0.0
1332.005002819242,0.1,0.0
1406.005002670777,0.1,0.0
1482.0050025337473,0.1,0.0
1560.0050024070024,0.1,0.0
1640.005002289531,0.1,0.0
1722.0050021804595,0.1,0.0
1806.005002079001,0.1,0.0
1892.0050019844616,0.1,0.0
1980.005001896228,0.1,0.0
2070.0050018137526,0.1,0.0
2162.0050017365465,0.1,0.0
2256.0050016641717,0.1,0.0
2352.0050015962242,0.1,0.0
2450.005001532351,0.1,0.0
2550.005001472249,0.1,0.0
2652.0050014156027,0.1,0.0
2756.0050013621717,0.1,0.0
2862.0050013117075,0.1,0.0
2970.005001263999,0.1,0.0
3080.005001218844,0.1,0.0
3192.0050011760636,0.1,0.0
3306.005001135502,0.1,0.0
3422.005001097006,0.1,0.0
3540.0050010604264,0.1,0.0
3660.0050010256537,0.1,0.0
3782.005000992558,0.1,0.0
3906.005000961049,0.1,0.0
4032.005000937476,0.1,0.0
4160.0050009089,0.1,0.0
4290.005058417694,0.1,0.0
4422.005059169609,0.1,0.0
4556.181220669825,0.1,0.0
4692.183719473632,0.1,0.0
0.0,0.15,0.0
1.5664552988070568e-14,0.15,0.0
2.0179976843251826,0.15,0.0
6.012855174762879,0.15,0.0
12.012000692256576,0.15,0.0
20.011688914397535,0.15,0.0
30.011538911863266,0.15,0.0
42.01145488459169,0.15,0.0
56.01140297690739,0.15,0.0
72.0113686285871,0.15,0.0
90.01134470589284,0.15,0.0
110.01132736983305,0.15,0.0
132.01131440204136,0.15,0.0
156.0113044467289,0.15,0.0
182.01129663681257,0.15,0.0
210.01129039654109,0.15,0.0
240.01128533132587,0.15,0.0
272.0112811633389,0.15,0.0
306.01127769233506,0.15,0.0
342.0112747710194,0.15,0.0
380.0112722890752,0.15,0.0
420.01127016255055,0.15,0.0
462.011268326645,0.15,0.0
506.01126673068524,0.15,0.0
552.011265334585,0.15,0.0
600.011264106301,0.15,0.0
650.0112630199632,0.15,0.0
702.0112620544994,0.15,0.0
756.0112611926198,0.15,0.0
812.0112604200099,0.15,0.0
870.0112597247502,0.15,0.0
930.0112590968442,0.15,0.0
992.0112585278699,0.15,0.0
1056.0112580106643,0.15,0.0
1122.0112575391358,0.15,0.0
1190.0112571080608,0.15,0.0
1260.0112567129356,0.15,0.0
1332.0112563498699,0.15,0.0
1406.01125601549,0.15,0.0
1482.0112557068499,0.15,0.0
