Δϵ_n,Ω_d,K,ϵ_2,ϵ_2/K,N
0.5904623571932841,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.4713068900758489,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.11793533846162352,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.9956594173607328,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.9950411691191221,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.9953702108919047,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.0015652024441349388,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.9958473781200076,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.9963503654838856,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.996862111885258,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.030234493561149045,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.9973792548743743,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.997900137154027,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.9984234210287577,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.9989479341723242,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.9994726417078801,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.0,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.0005224676730827271,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.0010427078893529007,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.001560101729485619,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.002074107585388174,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.0025842524842650816,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.003090124267809413,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.003591364555695531,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.004087662426611849,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.004578748754631934,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.00506439114304047,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.00554438940169244,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.006018571517914961,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.006486790074629933,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.0069489190730583905,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.007404851120253797,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.007854494945451318,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.00829777321170655,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.008734620592410147,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.009164982084890916,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.00958881153505231,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.010006070350811913,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.01041672638258928,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.01082075295199214,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.011218128011469042,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.01160883341973662,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.011992854318303658,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.012370178597426285,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.012740796439630109,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.013104699931163921,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.013461882732326957,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.01381233979895613,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.014156067147919615,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.014493061660416195,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.014823320918053162,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.015146843066507154,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.015463626702773792,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.015773670782440075,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.016076974543990596,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.01637353744704728,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.016663359122636834,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.01694643933325435,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.017222777940916756,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.017492374882179806,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.017755230148294388,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.01801134377017899,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.018260715806572958,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.01850334633531081,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.018739235446660896,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.018968383238626152,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.019190789813507303,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.01940645527546947,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.019615379728934457,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.019817563277731542,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.020013006024314883,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.020201708069633728,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.020383669512945346,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.02055889045199011,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.02072737098303834,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.020889111201057742,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.021044111199981175,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.02119237107282601,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.02133389091187221,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.02146867080886039,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.0215967108550722,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.021718011141442006,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.021832571758733543,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.02194039279744775,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.02204147434800874,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.022135816500745698,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.02222341934592742,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.02230428297380227,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.022378407474577533,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.022445792938447062,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.022506439455591054,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.02256034711620647,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.022607516010452855,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.022647946228507965,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.022681637860547554,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.02270859099672362,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.022728805727206702,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.022742282142157455,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.022749020331727654,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.022749020386072627,0.0,1.6845000000000001e-6,0.0,0.0,100.0
0.5677531968614462,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.44860460013016157,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.09526490672612153,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9729924826180288,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9723484270100923,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9726646530630397,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9788808057773647,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9731670297318056,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9736688348021875,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9741804589342091,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.007551173472712502,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9746975996238695,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9752184901520701,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.975741781232937,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9762662998634958,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9767910114604255,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9773150036851679,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9778374733990428,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9783577149524499,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.978875109577391,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9793891157886752,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
