Δϵ_n,Ω_d,K,ϵ_2,ϵ_2/K,N
41111.4823768886,0.0,1.6845000000000001e-6,0.0,0.0,50.0
38136.320189476275,0.0,1.6845000000000001e-6,0.0,0.0,50.0
593444.5473926684,0.0,1.6845000000000001e-6,0.0,0.0,50.0
589907.2531044238,0.0,1.6845000000000001e-6,0.0,0.0,50.0
589710.6116900352,0.0,1.6845000000000001e-6,0.0,0.0,50.0
589807.9916386867,0.0,1.6845000000000001e-6,0.0,0.0,50.0
589948.8694510412,0.0,1.6845000000000001e-6,0.0,0.0,50.0
590096.3037606396,0.0,1.6845000000000001e-6,0.0,0.0,50.0
590246.4228545964,0.0,1.6845000000000001e-6,0.0,0.0,50.0
590397.4857279925,0.0,1.6845000000000001e-6,0.0,0.0,50.0
590548.2174063707,0.0,1.6845000000000001e-6,0.0,0.0,50.0
590697.649694361,0.0,1.6845000000000001e-6,0.0,0.0,50.0
590845.0506381112,0.0,1.6845000000000001e-6,0.0,0.0,50.0
590989.8717609283,0.0,1.6845000000000001e-6,0.0,0.0,50.0
591131.7059867173,0.0,1.6845000000000001e-6,0.0,0.0,50.0
591270.2542467116,0.0,1.6845000000000001e-6,0.0,0.0,50.0
591405.2991970613,0.0,1.6845000000000001e-6,0.0,0.0,50.0
591536.6847159229,0.0,1.6845000000000001e-6,0.0,0.0,50.0
591664.3000581169,0.0,1.6845000000000001e-6,0.0,0.0,50.0
591788.0677298809,0.0,1.6845000000000001e-6,0.0,0.0,50.0
591907.9343069462,0.0,1.6845000000000001e-6,0.0,0.0,50.0
592023.8635591391,0.0,1.6845000000000001e-6,0.0,0.0,50.0
592135.8313632132,0.0,1.6845000000000001e-6,0.0,0.0,50.0
592243.821987361,0.0,1.6845000000000001e-6,0.0,0.0,50.0
592347.8254151422,0.0,1.6845000000000001e-6,0.0,0.0,50.0
592447.8354474487,0.0,1.6845000000000001e-6,0.0,0.0,50.0
592543.8483789064,0.0,1.6845000000000001e-6,0.0,0.0,50.0
592635.8620919299,0.0,1.6845000000000001e-6,0.0,0.0,50.0
592723.8754497821,0.0,1.6845000000000001e-6,0.0,0.0,50.0
592807.8878997077,0.0,1.6845000000000001e-6,0.0,0.0,50.0
592887.8992206709,0.0,1.6845000000000001e-6,0.0,0.0,50.0
592963.9093684542,0.0,1.6845000000000001e-6,0.0,0.0,50.0
593035.9183845465,0.0,1.6845000000000001e-6,0.0,0.0,50.0
593103.9263453381,0.0,1.6845000000000001e-6,0.0,0.0,50.0
593167.9333361492,0.0,1.6845000000000001e-6,0.0,0.0,50.0
593227.9394394807,0.0,1.6845000000000001e-6,0.0,0.0,50.0
593283.944731039,0.0,1.6845000000000001e-6,0.0,0.0,50.0
593335.9492795565,0.0,1.6845000000000001e-6,0.0,0.0,50.0
593383.9531480921,0.0,1.6845000000000001e-6,0.0,0.0,50.0
593427.9563956901,0.0,1.6845000000000001e-6,0.0,0.0,50.0
593467.959078821,0.0,1.6845000000000001e-6,0.0,0.0,50.0
593503.961252467,0.0,1.6845000000000001e-6,0.0,0.0,50.0
593535.9629707892,0.0,1.6845000000000001e-6,0.0,0.0,50.0
593563.9642875734,0.0,1.6845000000000001e-6,0.0,0.0,50.0
593587.965256438,0.0,1.6845000000000001e-6,0.0,0.0,50.0
593607.9659309285,0.0,1.6845000000000001e-6,0.0,0.0,50.0
593623.9663645785,0.0,1.6845000000000001e-6,0.0,0.0,50.0
593635.9666109141,0.0,1.6845000000000001e-6,0.0,0.0,50.0
593643.966723452,0.0,1.6845000000000001e-6,0.0,0.0,50.0
0.0,0.0,1.6845000000000001e-6,0.0,0.0,50.0
41111.482951007034,0.0001,1.6845000000000001e-6,5.0000000000000004e-8,0.029682398337785694,50.0
38136.2845331034,0.0001,1.6845000000000001e-6,5.0000000000000004e-8,0.029682398337785694,50.0
593444.524646768,0.0001,1.6845000000000001e-6,5.0000000000000004e-8,0.029682398337785694,50.0
589907.2915394658,0.0001,1.6845000000000001e-6,5.0000000000000004e-8,0.029682398337785694,50.0
589710.5900098672,0.0001,1.6845000000000001e-6,5.0000000000000004e-8,0.029682398337785694,50.0
589807.9425327918,0.0001,1.6845000000000001e-6,5.0000000000000004e-8,0.029682398337785694,50.0
589948.8767144307,0.0001,1.6845000000000001e-6,5.0000000000000004e-8,0.029682398337785694,50.0
590096.30734155,0.0001,1.6845000000000001e-6,5.0000000000000004e-8,0.029682398337785694,50.0
590246.4255074053,0.0001,1.6845000000000001e-6,5.0000000000000004e-8,0.029682398337785694,50.0
590397.4877458956,0.0001,1.6845000000000001e-6,5.0000000000000004e-8,0.029682398337785694,50.0
590548.2189462271,0.0001,1.6845000000000001e-6,5.0000000000000004e-8,0.029682398337785694,50.0
590697.6508778614,0.0001,1.6845000000000001e-6,5.0000000000000004e-8,0.029682398337785694,50.0
590845.0515595935,0.0001,1.6845000000000001e-6,5.0000000000000004e-8,0.029682398337785694,50.0
590989.8724921591,0.0001,1.6845000000000001e-6,5.0000000000000004e-8,0.029682398337785694,50.0
591131.7065814439,0.0001,1.6845000000000001e-6,5.0000000000000004e-8,0.029682398337785694,50.0
591270.2547446686,0.0001,1.6845000000000001e-6,5.0000000000000004e-8,0.029682398337785694,50.0
591405.2996272651,0.0001,1.6845000000000001e-6,5.0000000000000004e-8,0.029682398337785694,50.0
591536.6850993189,0.0001,1.6845000000000001e-6,5.0000000000000004e-8,0.029682398337785694,50.0
591664.3004096339,0.0001,1.6845000000000001e-6,5.0000000000000004e-8,0.029682398337785694,50.0
591788.068060025,0.0001,1.6845000000000001e-6,5.0000000000000004e-8,0.029682398337785694,50.0
591907.9346230081,0.0001,1.6845000000000001e-6,5.0000000000000004e-8,0.029682398337785694,50.0
