ΔE_n,ϵ_2,Floquet
46.143998434081546,0.0,1.0
2632.6756986486575,0.0,1.0
153.2209407923387,0.0,1.0
2527.968477381228,0.0,1.0
175.38479168420457,0.0,1.0
2502.6314831978057,0.0,1.0
256.7005697931681,0.0,1.0
2425.3684736467562,0.0,1.0
286.53923611312257,0.0,1.0
2383.697863100537,0.0,1.0
344.88241824744256,0.0,1.0
353.2582349479874,0.0,1.0
2324.9408908739783,0.0,1.0
391.71080650978126,0.0,1.0
2226.6953170937413,0.0,1.0
2130.6300640158847,0.0,1.0
2036.7413930185307,0.0,1.0
1945.0252304231576,0.0,1.0
1915.9757713930326,0.0,1.0
1855.4774572297877,0.0,1.0
1768.0939553870369,0.0,1.0
1682.870616019668,0.0,1.0
1599.803341929804,0.0,1.0
1103.717873622632,0.0,1.0
1518.888049052717,0.0,1.0
1440.120667532273,0.0,1.0
1416.4747948798442,0.0,1.0
1363.4971425422307,0.0,1.0
1342.2141798545897,0.0,1.0
1289.0134349062432,0.0,1.0
1216.6655215553556,0.0,1.0
1146.4493958546761,0.0,1.0
1088.3123468369538,0.0,1.0
1078.3610678258115,0.0,1.0
1012.3965642865691,0.0,1.0
948.5519289260257,0.0,1.0
886.8232223295283,0.0,1.0
827.2065219651582,0.0,1.0
1887.4577842056171,0.0,1.0
769.6979221414686,0.0,1.0
714.2935339434937,0.0,1.0
660.9894851534123,0.0,1.0
609.7819201599528,0.0,1.0
560.6669998602835,0.0,1.0
513.6409015570166,0.0,1.0
468.6998188521391,0.0,1.0
425.8399615393544,0.0,1.0
385.0575554959679,0.0,1.0
380.9373098120253,0.0,1.0
346.34884257472515,0.0,1.0
309.71008049634185,0.0,1.0
275.13754274283326,0.0,1.0
242.62751845195695,0.0,1.0
212.17631231267566,0.0,1.0
183.7802444617619,0.0,1.0
157.43565038153218,0.0,1.0
133.13888079867164,0.0,1.0
110.88630158412771,0.0,1.0
90.67429365399562,0.0,1.0
72.4992528713322,0.0,1.0
56.3575899489148,0.0,1.0
42.245730352990996,0.0,1.0
30.16011420774919,0.0,1.0
3.465232299841275,0.0,1.0
20.097196200774018,0.0,1.0
12.053445489323881,0.0,1.0
6.025345607347894,0.0,1.0
2.0093943734055704,0.0,1.0
0.0021037993975644665,0.0,1.0
0.0,0.0,1.0
46.15890978595935,0.26957060156600005,1.0
2632.7086746189507,0.26957060156600005,1.0
153.17292689993852,0.26957060156600005,1.0
2528.0063947640665,0.26957060156600005,1.0
174.86815537878854,0.26957060156600005,1.0
2502.3410613326423,0.26957060156600005,1.0
256.4106480274564,0.26957060156600005,1.0
2425.4075693716964,0.26957060156600005,1.0
295.7989008754372,0.26957060156600005,1.0
2383.0571182910226,0.26957060156600005,1.0
337.894651199491,0.26957060156600005,1.0
361.04639834254067,0.26957060156600005,1.0
2324.980200080963,0.26957060156600005,1.0
393.116265593213,0.26957060156600005,1.0
2226.734618301164,0.26957060156600005,1.0
2130.6693101243077,0.26957060156600005,1.0
2036.7805736776354,0.26957060156600005,1.0
1945.064342605239,0.26957060156600005,1.0
1915.6715527032582,0.26957060156600005,1.0
1855.5164995343034,0.26957060156600005,1.0
1768.132926977622,0.26957060156600005,1.0
1682.9095163873476,0.26957060156600005,1.0
1599.842170801924,0.26957060156600005,1.0
1101.7327456889827,0.26957060156600005,1.0
1518.9268063354289,0.26957060156600005,1.0
1440.159353267771,0.26957060156600005,1.0
1439.0168630638914,0.26957060156600005,1.0
1363.5357568762197,0.26957060156600005,1.0
1341.4741786713862,0.26957060156600005,1.0
1289.0519780634165,0.26957060156600005,1.0
1216.7039938212467,0.26957060156600005,1.0
1146.487797562608,0.26957060156600005,1.0
1087.9125855126308,0.26957060156600005,1.0
1078.3993993479082,0.26957060156600005,1.0
1012.4348260280558,0.26957060156600005,1.0
948.5901213222147,0.26957060156600005,1.0
886.8613458450424,0.26957060156600005,1.0
827.2445770951538,0.26957060156600005,1.0
1874.8413280535392,0.26957060156600005,1.0
769.735909414668,0.26957060156600005,1.0
714.3314539270661,0.26957060156600005,1.0
661.0273384598227,0.26957060156600005,1.0
609.8197074560643,0.26957060156600005,1.0
560.7047218792143,0.26957060156600005,1.0
513.678559113462,0.26957060156600005,1.0
468.73741286223833,0.26957060156600005,1.0
