E_n,ϵ_2_by_K,N
1121.9954266641987,0.1,40.0
1189.9954025539741,0.1,40.0
1259.9953981060473,0.1,40.0
1331.9963668045923,0.1,40.0
1406.0707343205754,0.1,40.0
1482.6361788308793,0.1,40.0
-1.2504256127191187,0.2,40.0
0.24736266384247507,0.2,40.0
2.1906056405188057,0.2,40.0
6.057421272611683,0.2,40.0
12.018766143781408,0.2,40.0
20.00325673070733,0.2,40.0
29.995503251646937,0.2,40.0
41.99107331009641,0.2,40.0
55.98830480609055,0.2,40.0
71.98645921432797,0.2,40.0
89.98516733218376,0.2,40.0
109.98422779616907,0.2,40.0
131.98352315140426,0.2,40.0
155.98298112081218,0.2,40.0
181.98255524179228,0.2,40.0
209.98221453984988,0.2,40.0
239.9819377203056,0.2,40.0
271.98170975176924,0.2,40.0
305.9815197783183,0.2,40.0
341.9813598008978,0.2,40.0
379.9812238202444,0.2,40.0
419.98110726550823,0.2,40.0
461.98100660467935,0.2,40.0
505.9809190735808,0.2,40.0
551.9808424839129,0.2,40.0
599.9807750850393,0.2,40.0
649.980715462982,0.2,40.0
701.9806624656175,0.2,40.0
755.9806151465586,0.2,40.0
811.9805727225846,0.2,40.0
869.9805345410203,0.2,40.0
929.9805000544522,0.2,40.0
991.98046880104,0.2,40.0
1055.9804403910132,0.2,40.0
1121.9804146455724,0.2,40.0
1189.980395792032,0.2,40.0
1259.9807738818267,0.2,40.0
1331.9850198324955,0.2,40.0
1406.3289977069946,0.2,40.0
1482.9584905684337,0.2,40.0
-1.210709065234892,0.3,40.0
0.14225960731615306,0.3,40.0
2.1581700177771017,0.3,40.0
6.031900441575848,0.3,40.0
11.993457447355416,0.3,40.0
19.978031590190906,0.3,40.0
29.9703372465688,0.3,40.0
41.96594780377431,0.3,40.0
55.9632073211866,0.3,40.0
71.96138162039655,0.3,40.0
89.96010425271588,0.3,40.0
109.95917558325272,0.3,40.0
131.95847926194435,0.3,40.0
155.9579437360372,0.3,40.0
181.9575230304468,0.3,40.0
209.95718650709355,0.3,40.0
239.95691310882654,0.3,40.0
271.9566879754801,0.3,40.0
305.95650037690666,0.3,40.0
341.9563424080149,0.3,40.0
379.9562081408256,0.3,40.0
419.9560930593248,0.3,40.0
461.95599367421966,0.3,40.0
505.9559072549997,0.3,40.0
551.9558316401744,0.3,40.0
599.9557651006683,0.3,40.0
649.9557062399966,0.3,40.0
701.955653920348,0.3,40.0
755.9556072071297,0.3,40.0
811.9555653269165,0.3,40.0
869.9555276352146,0.3,40.0
929.955493591508,0.3,40.0
991.9554627407958,0.3,40.0
1055.9554347205549,0.3,40.0
1121.955411299168,0.3,40.0
1189.9554135967899,0.3,40.0
1259.9576225634069,0.3,40.0
1331.967599458038,0.3,40.0
1406.7758841790471,0.3,40.0
1483.476978379245,0.3,40.0
-1.1925480130578037,0.4,40.0
0.02316768758831289,0.4,40.0
2.117906326574812,0.4,40.0
5.997268643345433,0.4,40.0
11.958722352069216,0.4,40.0
19.943172796630215,0.4,40.0
29.935421782147888,0.4,40.0
41.93100363329743,0.4,40.0
55.928246904224736,0.4,40.0
71.92641117255226,0.4,40.0
89.9251271857442,0.4,40.0
109.92419391786315,0.4,40.0
